,,index,rate_min_windows_future,rate_max_windows_future
AMD,3,"(0.162, 0.243]",-0.1553913783593933,
AMD,4,"(0.243, 0.373]",-0.18829768812751904,
AMD,5,"(0.373, 1.783]",-0.243479529231721,
AMD,6,"(-0.64, -0.291]",,0.35291505128853884
AMD,7,"(-0.291, -0.21]",,0.26144370824564145
AMD,8,"(-0.21, -0.146]",,0.21742184187064797
AMD,9,"(-0.146, -0.0899]",,0.1914805816527487
AMD,10,"(-0.0899, -0.0363]",,0.16917606028129725
AMD,11,"(-0.0363, 0.0]",,0.1634405405672161
AMGN,0,"(-0.001, 0.0387]",-0.09439890307418695,
AMGN,1,"(0.0387, 0.097]",-0.10999145466008733,
AMGN,2,"(0.097, 0.155]",-0.12829399498872737,
AMGN,3,"(0.155, 0.224]",-0.1590678478787962,
AMGN,4,"(0.224, 0.337]",-0.18032787098782313,
AMGN,5,"(0.337, 2.917]",-0.23341990062101842,
AMGN,6,"(-0.615, -0.281]",,0.2620540603242586
AMGN,7,"(-0.281, -0.217]",,0.23777192769136576
AMGN,8,"(-0.217, -0.165]",,0.24651748515541722
AMGN,9,"(-0.165, -0.109]",,0.23289253159218673
AMGN,10,"(-0.109, -0.0456]",,0.22071081707483928
AMGN,11,"(-0.0456, 0.0]",,0.17647004741007344
AMN,0,"(-0.001, 0.0456]",-0.09500091586120799,
AMN,1,"(0.0456, 0.118]",-0.12376359334049984,
AMN,2,"(0.118, 0.204]",-0.15902151168770273,
AMN,3,"(0.204, 0.326]",-0.18992293426881215,
AMN,4,"(0.326, 0.525]",-0.2521240617343534,
AMN,5,"(0.525, 119.346]",-0.45601904086695677,
AMN,6,"(-0.986, -0.383]",,2.453744231563121
AMN,7,"(-0.383, -0.278]",,0.4209486513810415
AMN,8,"(-0.278, -0.191]",,0.3051660003786277
AMN,9,"(-0.191, -0.119]",,0.2729241578465929
AMN,10,"(-0.119, -0.0492]",,0.26539477493959973
AMN,11,"(-0.0492, 0.0]",,0.18572099143470336
AN,0,"(-0.001, 0.0329]",-0.09489627688148301,
AN,1,"(0.0329, 0.0868]",-0.10876920242171906,
AN,2,"(0.0868, 0.143]",-0.12478489949768577,
AN,3,"(0.143, 0.22]",-0.15942228205552159,
AN,4,"(0.22, 0.346]",-0.1945073409209542,
AN,5,"(0.346, 2.883]",-0.21929095705995286,
AN,6,"(-0.553, -0.284]",,0.28137854291194003
AN,7,"(-0.284, -0.214]",,0.2207898016599775
AN,8,"(-0.214, -0.159]",,0.22793763478403894
AN,9,"(-0.159, -0.103]",,0.24417266608252017
AN,10,"(-0.103, -0.0408]",,0.21678500188228522
AN,11,"(-0.0408, 0.0]",,0.19228533043742832
AON,0,"(-0.001, 0.0355]",-0.10796370497339004,
AON,1,"(0.0355, 0.0894]",-0.12069981289605522,
AON,2,"(0.0894, 0.158]",-0.1258997875277616,
AON,3,"(0.158, 0.251]",-0.1559366343719507,
AON,4,"(0.251, 0.393]",-0.19524815748122593,
AON,5,"(0.393, 5.606]",-0.2666953646406327,
AON,6,"(-0.611, -0.317]",,0.3481983514249817
AON,7,"(-0.317, -0.239]",,0.32080857489332465
AON,8,"(-0.239, -0.176]",,0.24720972789542459
AON,9,"(-0.176, -0.113]",,0.2429054982665334
AON,10,"(-0.113, -0.0426]",,0.2545072120752418
AON,11,"(-0.0426, 0.0]",,0.23576249544230793
APA,0,"(-0.001, 0.0299]",-0.09379473819400763,
APA,1,"(0.0299, 0.0788]",-0.10944972078196907,
APA,2,"(0.0788, 0.13]",-0.11800314705734957,
APA,3,"(0.13, 0.188]",-0.13058812371363898,
APA,4,"(0.188, 0.286]",-0.1486019527137514,
APA,5,"(0.286, 4.349]",-0.19023459161791678,
APA,6,"(-0.607, -0.248]",,0.25014618011225687
APA,7,"(-0.248, -0.186]",,0.2095835423892983
APA,8,"(-0.186, -0.137]",,0.19138631868641387
APA,9,"(-0.137, -0.0893]",,0.17166215364418033
APA,10,"(-0.0893, -0.0365]",,0.19772693560072213
APA,11,"(-0.0365, 0.0]",,0.20275585475029162
APD,0,"(-0.001, 0.0388]",-0.09238129669083302,
APD,1,"(0.0388, 0.0875]",-0.1017687408975825,
APD,2,"(0.0875, 0.137]",-0.11231428745677637,
APD,3,"(0.137, 0.204]",-0.14714177828739314,
APD,4,"(0.204, 0.331]",-0.17567232033715682,
APD,5,"(0.331, 4.276]",-0.24342315280254545,
APD,6,"(-0.606, -0.279]",,0.283000484658737
APD,7,"(-0.279, -0.202]",,0.23408638128124257
APD,8,"(-0.202, -0.145]",,0.24629761687939833
APD,9,"(-0.145, -0.0934]",,0.20304629869495122
APD,10,"(-0.0934, -0.0412]",,0.18693170592211847
APD,11,"(-0.0412, 0.0]",,0.1838548570811421
ARW,0,"(-0.001, 0.0348]",-0.07688497125627668,
ARW,1,"(0.0348, 0.0894]",-0.10419684945670339,
ARW,2,"(0.0894, 0.154]",-0.13221143115370537,
ARW,3,"(0.154, 0.24]",-0.16466084623074118,
ARW,4,"(0.24, 0.367]",-0.20574881684384158,
ARW,5,"(0.367, 3.404]",-0.2663571585707107,
ARW,6,"(-0.676, -0.292]",,0.3499944726409062
ARW,7,"(-0.292, -0.224]",,0.26529758731289854
ARW,8,"(-0.224, -0.166]",,0.24420584796651937
ARW,9,"(-0.166, -0.109]",,0.21355183337288766
ARW,10,"(-0.109, -0.0477]",,0.20400888588610042
ARW,11,"(-0.0477, 0.0]",,0.19004422873035456
ASA,0,"(-0.001, 0.053]",-0.10907844629873621,
ASA,1,"(0.053, 0.128]",-0.14036559017725606,
ASA,2,"(0.128, 0.214]",-0.164240893386406,
ASA,3,"(0.214, 0.343]",-0.19570367837831754,
ASA,4,"(0.343, 0.558]",-0.24076074194350588,
ASA,5,"(0.558, 11.257]",-0.3960372531879122,
ASA,6,"(-0.933, -0.407]",,1.481705608764225
ASA,7,"(-0.407, -0.264]",,0.5788276359075427
ASA,8,"(-0.264, -0.18]",,0.31301355897319394
ASA,9,"(-0.18, -0.118]",,0.25454283794914917
ASA,10,"(-0.118, -0.0583]",,0.18537825882167017
ASA,11,"(-0.0583, 0.0]",,0.1534180533267377
ASH,0,"(-0.001, 0.0301]",-0.09730397916881389,
ASH,1,"(0.0301, 0.0838]",-0.10803440046567803,
ASH,2,"(0.0838, 0.142]",-0.12790722446832992,
ASH,3,"(0.142, 0.215]",-0.1535460126685531,
ASH,4,"(0.215, 0.341]",-0.16044448543113396,
ASH,5,"(0.341, 4.416]",-0.2361148353670478,
ASH,6,"(-0.769, -0.273]",,0.24822561623664188
ASH,7,"(-0.273, -0.205]",,0.24847303546278654
ASH,8,"(-0.205, -0.148]",,0.2524662288165112
ASH,9,"(-0.148, -0.0948]",,0.21819482449001526
ASH,10,"(-0.0948, -0.0364]",,0.21463818795580444
ASH,11,"(-0.0364, 0.0]",,0.2285774367211834
ASML,0,"(-0.001, 0.0271]",-0.0894046857853825,
ASML,1,"(0.0271, 0.0796]",-0.11678885582130008,
ASML,2,"(0.0796, 0.138]",-0.13570915538051417,
ASML,3,"(0.138, 0.211]",-0.14599330461927423,
ASML,4,"(0.211, 0.333]",-0.16591523795324517,
ASML,5,"(0.333, 10.645]",-0.21383731113869942,
ASML,6,"(-0.836, -0.274]",,0.4323808883667162
ASML,7,"(-0.274, -0.203]",,0.2506847423128449
ASML,8,"(-0.203, -0.149]",,0.2322204551934186
ASML,9,"(-0.149, -0.0998]",,0.1919366043835345
ASML,10,"(-0.0998, -0.0434]",,0.17552893561195979
ASML,11,"(-0.0434, 0.0]",,0.1581912669281258
ATGE,0,"(-0.001, 0.0351]",-0.10056447473155118,
ATGE,1,"(0.0351, 0.0948]",-0.11001415232053569,
ATGE,2,"(0.0948, 0.164]",-0.12591266340215537,
ATGE,3,"(0.164, 0.273]",-0.1577235466834155,
ATGE,4,"(0.273, 0.465]",-0.19767158408159863,
ATGE,5,"(0.465, 4.385]",-0.3503981313444861,
ATGE,6,"(-0.756, -0.393]",,0.5160156739133871
ATGE,7,"(-0.393, -0.268]",,0.40013545274800577
ATGE,8,"(-0.268, -0.173]",,0.3181712787708046
ATGE,9,"(-0.173, -0.106]",,0.28241223611219674
ATGE,10,"(-0.106, -0.035]",,0.24703122194870492
ATGE,11,"(-0.035, 0.0]",,0.22312437847496583
